bts_id,siec,standard,lokalizacja
1424,Konkurent_2,GSM UMTS LTE  ,Koszalin   
1425,Orange,   5G ,Narol   
1426,Konkurent_3,  LTE 5G ,Czerniejewo   
1427,Konkurent_3,GSM  LTE  ,Serock   
1428,Konkurent_3, UMTS LTE  ,Borek Wielkopolski  
1429,Konkurent_2, UMTS   ,Brzeziny   
1430,Konkurent_3,   5G ,Nowa Ruda  
1431,Konkurent_3,GSM   5G ,Orneta   
1432,Orange,GSM    ,Białogard   
1433,Konkurent_2,GSM  LTE  ,Zduny   
1434,Konkurent_2,   5G ,Gozdnica   
1435,Konkurent_3, UMTS  5G ,Krotoszyn   
1436,Konkurent_2, UMTS LTE  ,Wysoka   
1437,Konkurent_1,  LTE  ,Sieradz   
1438,Konkurent_1,GSM UMTS  5G ,Międzyrzecz   
1439,Konkurent_3,  LTE  ,Czarne   
1440,Orange,   5G IOT,Iłowa   
1441,Konkurent_3,  LTE 5G ,Osiek   
1442,Orange,  LTE  ,Żuromin   
1443,Konkurent_3,GSM  LTE  ,Działoszyn   
1444,Orange,GSM UMTS LTE  IOT,Mirosławiec   
1445,Orange,GSM    ,Zaklików   
1446,Konkurent_1, UMTS LTE  ,Lubin   
1447,Konkurent_3,  LTE  ,Świnoujście   
1448,Konkurent_2,  LTE  ,Grodków   
1449,Konkurent_1,GSM  LTE  ,Stęszew   
1450,Konkurent_1,    IOT,Wilamowice   
1451,Konkurent_2,    IOT,Suraż   
1452,Konkurent_2, UMTS   ,Rypin   
1453,Konkurent_2,  LTE  ,Krzeszowice   
1454,Konkurent_2,GSM  LTE  ,Warta   
1455,Konkurent_3,    IOT,Ujście   
1456,Orange, UMTS   ,Pajęczno   
1457,Orange,  LTE  ,Pszów   
1458,Orange,GSM  LTE  ,Nowy Dwór Mazowiecki 
1459,Konkurent_3,GSM UMTS   ,Żory   
1460,Orange,GSM  LTE 5G ,Krzeszowice   
1461,Orange,GSM UMTS   ,Przedbórz   
1462,Konkurent_3,    IOT,Augustów   
1463,Orange,GSM  LTE  ,Golczewo   
1464,Konkurent_2, UMTS LTE  ,Czerwionka-Leszczyny   
1465,Konkurent_2, UMTS LTE  ,Wadowice   
1466,Orange,GSM   5G ,Golina   
1467,Orange,   5G ,Pasym   
1468,Konkurent_3,GSM    ,Piaski   
1469,Konkurent_1,   5G ,Sieniawa   
1470,Orange,GSM UMTS   IOT,Wolsztyn   
1471,Orange,GSM    ,Dziwnów   
1472,Konkurent_1,GSM   5G IOT,Łomianki   
1473,Konkurent_2,GSM UMTS  5G ,Gostyń   
1474,Konkurent_3,GSM  LTE  ,Kołaczyce   
1475,Orange,  LTE  ,Błażowa   
1476,Konkurent_3, UMTS LTE 5G ,Wysokie Mazowieckie  
1477,Orange, UMTS   ,Działoszyce   
1478,Konkurent_3,GSM UMTS   ,Zawiercie   
1479,Orange,GSM UMTS   ,Zgierz   
1480,Konkurent_2,   5G ,Czerniejewo   
1481,Konkurent_2,GSM UMTS LTE  ,Morąg   
1482,Konkurent_2,  LTE 5G ,Nowe   
1483,Konkurent_2, UMTS  5G ,Krasnystaw   
1484,Orange,  LTE 5G ,Piekary Śląskie  
1485,Orange,GSM   5G ,Ostrołęka   
1486,Konkurent_3,GSM UMTS LTE  ,Pieńsk   
1487,Konkurent_3,  LTE  ,Przemyśl   
1488,Konkurent_3,  LTE 5G ,Świerzawa   
1489,Konkurent_2,GSM UMTS   ,Pniewy   
1490,Konkurent_1,GSM    ,Nidzica   
1491,Orange,  LTE  ,Miastko   
1492,Orange, UMTS LTE  ,Witkowo   
1493,Konkurent_3,GSM UMTS LTE  ,Krapkowice   
1494,Orange,GSM UMTS   IOT,Żnin   
1495,Konkurent_2,  LTE  IOT,Warka   
1496,Konkurent_3,    IOT,Kielce   
1497,Konkurent_3,   5G ,Czarnków   
1498,Konkurent_3,GSM  LTE  ,Imielin   
1499,Orange,   5G ,Radzyń Podlaski  
1500,Konkurent_3,GSM UMTS  5G ,Mrągowo   
1501,Orange,GSM UMTS   ,Twardogóra   
1502,Orange,  LTE 5G ,Koło   
1503,Orange,  LTE  ,Chełm   
1504,Konkurent_2, UMTS   IOT,Opole Lubelskie  
1505,Konkurent_2,GSM  LTE  ,Pakość   
1506,Konkurent_2,GSM  LTE  ,Ciechanowiec   
1507,Konkurent_2,GSM  LTE  IOT,Szepietowo   
1508,Konkurent_2,  LTE  ,Legionowo   
1509,Konkurent_2, UMTS LTE 5G IOT,Sokołów Małopolski  
1510,Orange,GSM  LTE  ,Poręba   
1511,Orange,GSM    ,Nowy Dwór Gdański 
1512,Konkurent_3,GSM UMTS   ,Zdzieszowice   
1513,Konkurent_1,GSM UMTS   ,Dzierżoniów   
1514,Orange,GSM UMTS   ,Puszczykowo   
1515,Konkurent_2,GSM UMTS   ,Stawiszyn   
1516,Konkurent_2, UMTS   ,Pakość   
1517,Konkurent_3,  LTE  ,Pyrzyce   
1518,Orange,GSM  LTE 5G ,Szczuczyn   
1519,Orange,   5G ,Brusy   
1520,Konkurent_3, UMTS   ,Cybinka   
1521,Konkurent_2, UMTS   ,Praszka   
1522,Konkurent_1,GSM UMTS   ,Miasteczko Śląskie  
1523,Konkurent_2,GSM  LTE  ,Busko-Zdrój   
1524,Konkurent_2, UMTS   ,Nałęczów   
1525,Konkurent_3, UMTS LTE  ,Dąbrowa Tarnowska  
1526,Konkurent_3,  LTE  ,Jelenia Góra  
1527,Konkurent_3,GSM UMTS   ,Gniezno   
1528,Konkurent_2,GSM    ,Drawno   
1529,Konkurent_2,   5G ,Reda   
1530,Konkurent_2,GSM    ,Szubin   
1531,Orange,GSM    ,Jeziorany   
1532,Konkurent_3,GSM  LTE  ,Przemków   
1533,Konkurent_3,GSM  LTE  ,Dzierżoniów   
1534,Konkurent_3, UMTS LTE  ,Ostrowiec Świętokrzyski  
1535,Konkurent_3,GSM    ,Józefów   
1536,Konkurent_2, UMTS   ,Wojnicz   
1537,Konkurent_3,GSM    ,Łapy   
1538,Konkurent_2,GSM    ,Jaworzyna Śląska  
1539,Konkurent_2,GSM   5G ,Szczecin   
1540,Konkurent_3,GSM  LTE  ,Sokółka   
1541,Konkurent_2,  LTE  ,Ryn   
1542,Konkurent_2,GSM  LTE  ,Urzędów   
1543,Konkurent_1,GSM    ,Zielonka   
1544,Konkurent_3, UMTS LTE  ,Władysławowo   
1545,Konkurent_2,   5G ,Zelów   
1546,Orange,GSM  LTE  ,Gołańcz   
1547,Konkurent_3,GSM    ,Mońki   
1548,Orange,  LTE  ,Górowo Iławeckie  
1549,Konkurent_1, UMTS LTE 5G ,Gniewkowo   
1550,Konkurent_1,GSM UMTS LTE  IOT,Grodzisk Mazowiecki  
1551,Orange,GSM  LTE  ,Zwierzyniec   
1552,Konkurent_1,   5G ,Wojkowice   
1553,Konkurent_3, UMTS   ,Gołdap   
1554,Konkurent_1,GSM UMTS LTE  ,Gorzów Śląski  
1555,Orange,GSM UMTS   ,Borne Sulinowo  
1556,Konkurent_2,GSM UMTS LTE  ,Ziębice   
1557,Konkurent_3,GSM UMTS LTE  ,Sulechów   
1558,Orange, UMTS   ,Nieszawa   
1559,Konkurent_2, UMTS   ,Knurów   
1560,Konkurent_2,GSM UMTS   ,Przecław   
1561,Konkurent_3,GSM UMTS   ,Szamotuły   
1562,Konkurent_3,  LTE  ,Cieszyn   
1563,Konkurent_2,   5G IOT,Dobiegniew   
1564,Orange,GSM  LTE 5G ,Chorzele   
1565,Konkurent_1,  LTE 5G ,Strzelce Krajeńskie  
1566,Konkurent_2,GSM UMTS   ,Będzin   
1567,Konkurent_2,GSM  LTE 5G IOT,Nowe Skalmierzyce  
1568,Konkurent_1, UMTS LTE 5G ,Mszczonów   
1569,Orange, UMTS   IOT,Piła   
1570,Konkurent_2,GSM    ,Działdowo   
1571,Orange,   5G ,Karczew   
1572,Orange,GSM UMTS  5G ,Dzierzgoń   
1573,Orange, UMTS  5G ,Ustka   
1574,Konkurent_2,GSM UMTS LTE  IOT,Wolsztyn   
1575,Konkurent_2, UMTS   ,Chęciny   
1576,Konkurent_1,GSM    ,Tyszowce   
1577,Konkurent_2, UMTS  5G ,Darłowo   
1578,Konkurent_2, UMTS LTE 5G ,Ziębice   
1579,Konkurent_3, UMTS   ,Mogilno   
1580,Orange,  LTE  ,Dobrodzień   
1581,Orange,GSM UMTS   ,Wąsosz   
1582,Orange,GSM    ,Ustrzyki Dolne  
1583,Konkurent_3, UMTS   ,Wschowa   
1584,Konkurent_3,  LTE  ,Brzozów   
1585,Orange,GSM   5G ,Nowy Sącz  
1586,Orange,GSM  LTE  ,Dobrodzień   
1587,Orange,  LTE  ,Kalisz   
1588,Orange,  LTE  ,Kożuchów   
1589,Orange, UMTS   ,Mszana Dolna  
1590,Konkurent_3,GSM  LTE 5G ,Krosno   
1591,Konkurent_3,   5G ,Pieszyce   
1592,Konkurent_3,GSM    IOT,Grajewo   
1593,Orange,GSM  LTE  ,Iława   
1594,Konkurent_2,GSM   5G IOT,Nowa Sarzyna  
1595,Konkurent_3,   5G ,Myszyniec   
1596,Konkurent_3, UMTS   ,Wąbrzeźno   
1597,Orange,   5G ,Oborniki   
1598,Konkurent_1,  LTE 5G ,Izbica Kujawska  
1599,Orange,GSM    ,Pełczyce   
1600,Orange,GSM    IOT,Namysłów   
1601,Orange,   5G ,Mogielnica   
1602,Konkurent_3,GSM  LTE  ,Nekla   
1603,Konkurent_2,   5G ,Pniewy   
1604,Orange, UMTS LTE  ,Nowe Brzesko  
1605,Konkurent_2,GSM UMTS LTE  ,Byczyna   
1606,Orange,GSM    ,Bytom Odrzański  
1607,Konkurent_1,GSM    ,Lądek-Zdrój   
1608,Konkurent_2, UMTS   ,Suchedniów   
1609,Orange, UMTS   ,Oława   
1610,Orange,  LTE  ,Ujazd   
1611,Konkurent_3, UMTS   ,Rogoźno   
1612,Konkurent_3,  LTE  IOT,Gostyń   
1613,Konkurent_2,   5G ,Koszalin   
1614,Konkurent_2,   5G IOT,Krajenka   
1615,Konkurent_2,GSM    ,Nowa Sarzyna  
1616,Konkurent_1,GSM  LTE  ,Krynica Morska  
1617,Konkurent_2,GSM UMTS   ,Skaryszew   
1618,Orange,GSM  LTE  ,Krobia   
1619,Konkurent_2,  LTE  ,Krapkowice   
1620,Konkurent_3,GSM    ,Nowe Miasteczko  
1621,Orange,GSM  LTE 5G ,Głuszyca   
1622,Konkurent_3, UMTS   ,Lubawka   
1623,Konkurent_3,GSM  LTE 5G IOT,Osiek   
1624,Orange, UMTS   ,Szczecin   
1625,Konkurent_3,  LTE  ,Szlichtyngowa   
1626,Konkurent_1, UMTS LTE  ,Działoszyce   
1627,Orange,    IOT,Czaplinek   
1628,Orange,  LTE  ,Węgliniec   
1629,Orange,  LTE 5G ,Janów Lubelski  
1630,Orange,GSM    ,Syców   
1631,Konkurent_1, UMTS LTE  ,Radymno   
1632,Orange, UMTS   ,Ińsko   
1633,Konkurent_2,  LTE 5G ,Dębno   
1634,Konkurent_3,GSM UMTS LTE  ,Zagórów   
1635,Orange,GSM  LTE  ,Lubawka   
1636,Konkurent_1,GSM UMTS LTE  ,Hel   
1637,Konkurent_2,GSM    ,Dobiegniew   
1638,Konkurent_2, UMTS LTE 5G ,Sułkowice   
1639,Konkurent_2,   5G ,Strumień   
1640,Konkurent_3,  LTE  ,Bisztynek   
1641,Konkurent_2,GSM    ,Zagórów   
1642,Konkurent_3,   5G ,Włoszczowa   
1643,Konkurent_1, UMTS  5G ,Czerwieńsk   
1644,Orange,GSM  LTE  ,Kisielice   
1645,Konkurent_3,GSM    ,Połaniec   
1646,Konkurent_2,  LTE 5G ,Dziwnów   
1647,Konkurent_2,GSM  LTE  ,Lubliniec   
1648,Konkurent_2,GSM UMTS LTE  ,Żary   
1649,Konkurent_3,GSM    ,Siechnice   
1650,Konkurent_3,GSM  LTE  ,Nasielsk   
1651,Orange,    IOT,Namysłów   
1652,Konkurent_2, UMTS LTE  ,Puławy   
1653,Konkurent_3, UMTS  5G ,Ryn   
1654,Konkurent_2, UMTS   ,Sępopol   
1655,Orange,  LTE  ,Kruszwica   
1656,Orange,GSM UMTS   ,Krzyż Wielkopolski  
1657,Orange,  LTE 5G ,Pniewy   
1658,Konkurent_3, UMTS   IOT,Miłakowo   
1659,Orange,GSM    ,Łaziska Górne  
1660,Konkurent_3,  LTE 5G ,Tuliszków   
1661,Konkurent_1,GSM UMTS  5G ,Ujazd   
1662,Konkurent_2,  LTE  ,Kolno   
1663,Konkurent_3,   5G ,Ostroróg   
1664,Konkurent_1, UMTS   ,Sieraków   
1665,Konkurent_1,  LTE  IOT,Supraśl   
1666,Konkurent_1,GSM UMTS   ,Bystrzyca Kłodzka  
1667,Orange,  LTE  ,Świnoujście   
1668,Konkurent_3, UMTS   ,Mikstat   
1669,Konkurent_1,GSM UMTS LTE 5G ,Sulejówek   
1670,Konkurent_1,  LTE 5G ,Przeworsk   
1671,Konkurent_3,GSM UMTS   ,Szczawno-Zdrój   
1672,Orange,GSM   5G ,Prabuty   
1673,Konkurent_2,  LTE 5G ,Tarnobrzeg   
1674,Orange,GSM UMTS   ,Nowe   
1675,Orange,   5G ,Prochowice   
1676,Orange, UMTS LTE 5G ,Łask   
1677,Konkurent_2, UMTS   ,Oborniki   
1678,Orange,GSM UMTS LTE 5G ,Kołaczyce   
1679,Konkurent_2,GSM UMTS LTE  ,Nowe Miasto nad Pilicą
1680,Konkurent_2,  LTE  IOT,Rychwał   
1681,Orange,GSM  LTE 5G ,Odolanów   
1682,Konkurent_3,   5G ,Strzelce Opolskie  
1683,Konkurent_3,    IOT,Kazimierza Wielka  
1684,Konkurent_3,  LTE  ,Biłgoraj   
1685,Orange,GSM    ,Stepnica   
1686,Konkurent_1,  LTE  ,Gorzów Śląski  
1687,Orange,  LTE  ,Tłuszcz   
1688,Orange, UMTS  5G ,Korsze   
1689,Konkurent_2,GSM UMTS LTE  ,Działoszyn   
1690,Orange,    IOT,Kobylin   
1691,Konkurent_3, UMTS LTE  ,Toszek   
1692,Konkurent_3,GSM    ,Twardogóra   
1693,Konkurent_2,GSM  LTE  ,Jedlicze   
1694,Konkurent_2, UMTS   ,Glinojeck   
1695,Konkurent_3,GSM    IOT,Sławno   
1696,Orange, UMTS   IOT,Stęszew   
1697,Konkurent_2,  LTE  ,Nekla   
1698,Orange,  LTE 5G ,Kostrzyn   
1699,Orange,   5G ,Wieleń   
1700,Konkurent_3,GSM    ,Michałowo   
1701,Orange,GSM UMTS LTE  ,Stargard   
1702,Konkurent_2,GSM    ,Piotrków Kujawski  
1703,Orange,  LTE 5G ,Staszów   
1704,Konkurent_2,GSM UMTS LTE  ,Mikołów   
1705,Orange, UMTS   ,Dzierzgoń   
1706,Orange, UMTS LTE  ,Przasnysz   
1707,Konkurent_2, UMTS  5G ,Piaski   
1708,Konkurent_3,GSM UMTS  5G ,Pieniężno   
1709,Konkurent_2, UMTS LTE  ,Osieczna   
1710,Konkurent_3, UMTS LTE  ,Stryków   
1711,Orange,GSM    ,Gozdnica   
1712,Orange,  LTE 5G ,Augustów   
1713,Konkurent_1,   5G ,Jaworzyna Śląska  
1714,Orange,    IOT,Gąbin   
1715,Konkurent_3,GSM    ,Śrem   
1716,Konkurent_3, UMTS LTE  ,Szamotuły   
1717,Orange,   5G ,Poddębice   
1718,Konkurent_3,GSM UMTS   ,Suchań   
1719,Konkurent_2,GSM UMTS  5G ,Wielichowo   
1720,Orange,GSM UMTS   ,Myszków   
1721,Konkurent_3, UMTS LTE  ,Łobżenica   
1722,Orange, UMTS LTE  ,Skórcz   
1723,Orange,GSM    ,Międzychód   
1724,Konkurent_3,GSM    ,Sieraków   
1725,Konkurent_1,  LTE  ,Czerniejewo   
1726,Konkurent_3, UMTS   ,Kolno   
1727,Orange, UMTS   ,Rogoźno   
1728,Konkurent_1,GSM UMTS   IOT,Zator   
1729,Orange,  LTE  ,Tomaszów Mazowiecki  
1730,Konkurent_3,  LTE  ,Chorzele   
1731,Orange,GSM  LTE  ,Świebodzice   
1732,Orange,GSM    ,Przedecz   
1733,Orange,   5G ,Zawiercie   
1734,Konkurent_2,GSM UMTS LTE  ,Chęciny   
1735,Orange,GSM  LTE  ,Ryki   
1736,Konkurent_2,  LTE  ,Brańsk   
1737,Orange, UMTS  5G ,Drawsko Pomorskie  
1738,Konkurent_3,  LTE  ,Nieszawa   
1739,Orange,GSM   5G ,Zielonka   
1740,Konkurent_3,    IOT,Ząbkowice Śląskie  
1741,Konkurent_2,GSM  LTE  ,Tuchów   
1742,Konkurent_3,GSM  LTE  ,Bielsko-Biała   
1743,Konkurent_2,  LTE  ,Krobia   
1744,Konkurent_3,GSM  LTE  ,Praszka   
1745,Konkurent_1,   5G ,Kraków   
1746,Orange,GSM UMTS LTE  IOT,Rejowiec Fabryczny  
1747,Orange,GSM    ,Nowogród   
1748,Konkurent_2, UMTS   ,Lubsko   
1749,Orange,GSM   5G ,Opole   
1750,Konkurent_2,GSM    ,Alwernia   
1751,Orange, UMTS LTE  ,Łobez   
1752,Konkurent_3,GSM    ,Ostrzeszów   
1753,Orange,  LTE  ,Choroszcz   
1754,Konkurent_2,GSM UMTS LTE  ,Brzeziny   
1755,Konkurent_2,GSM UMTS   ,Ciechanów   
1756,Konkurent_2,  LTE  ,Lubin   
1757,Orange,GSM    ,Skierniewice   
1758,Orange, UMTS   ,Przedbórz   
1759,Orange,GSM UMTS   ,Police   
1760,Orange,GSM UMTS LTE 5G ,Duszniki-Zdrój   
1761,Konkurent_2,   5G ,Skoczów   
1762,Konkurent_2,GSM UMTS LTE 5G ,Odolanów   
1763,Konkurent_3,GSM  LTE  ,Zbąszynek   
1764,Konkurent_2,GSM UMTS LTE  ,Błonie   
1765,Orange,GSM    IOT,Złotów   
1766,Konkurent_2, UMTS   ,Koźmin Wielkopolski  
1767,Konkurent_2,GSM  LTE  ,Syców   
1768,Konkurent_1, UMTS  5G ,Kępice   
1769,Konkurent_3,  LTE  IOT,Skępe   
1770,Konkurent_3,  LTE  ,Kostrzyn   
1771,Orange,  LTE  ,Gostynin   
1772,Konkurent_1,GSM  LTE  ,Wronki   
1773,Orange,GSM    ,Karpacz   
1774,Konkurent_2,  LTE 5G ,Siechnice   
1775,Orange,GSM   5G ,Miłosław   
1776,Konkurent_3,GSM  LTE 5G ,Brześć Kujawski  
1777,Konkurent_2,GSM UMTS   ,Pobiedziska   
1778,Konkurent_3, UMTS   ,Modliborzyce   
1779,Konkurent_3,GSM  LTE  ,Suraż   
1780,Konkurent_3, UMTS   ,Mrągowo   
1781,Orange,GSM    ,Nowogród   
1782,Orange,  LTE  ,Krasnobród   
1783,Konkurent_1,GSM    ,Mieszkowice   
1784,Orange,  LTE  ,Lubniewice   
1785,Konkurent_3,GSM  LTE  ,Wałbrzych   
1786,Konkurent_2,GSM    ,Obrzycko   
1787,Orange,  LTE  ,Trzebnica   
1788,Orange, UMTS  5G ,Lubartów   
1789,Konkurent_2,GSM    ,Żukowo   
1790,Orange,GSM  LTE  ,Krosno   
1791,Orange,GSM  LTE 5G ,Poddębice   
1792,Konkurent_2,  LTE  ,Międzylesie   
1793,Konkurent_1,GSM  LTE  ,Gozdnica   
1794,Konkurent_2, UMTS LTE 5G ,Połaniec   
1795,Konkurent_2,GSM  LTE  IOT,Turek   
1796,Orange,GSM UMTS   ,Płoty   
1797,Konkurent_2,GSM UMTS LTE 5G IOT,Prudnik   
1798,Konkurent_3, UMTS LTE 5G ,Złocieniec   
1799,Konkurent_2,GSM UMTS   ,Ciechanów   
1800,Orange,GSM UMTS   ,Kartuzy   
1801,Konkurent_1, UMTS   ,Nysa   
1802,Orange,GSM UMTS   ,Jaworzyna Śląska  
1803,Konkurent_2,  LTE  ,Skoczów   
1804,Konkurent_3,GSM UMTS LTE 5G ,Ziębice   
1805,Konkurent_1,GSM  LTE  ,Zduny   
1806,Konkurent_2,  LTE  ,Miechów   
1807,Orange,   5G ,Kędzierzyn-Koźle   
1808,Konkurent_2, UMTS  5G ,Dzierżoniów   
1809,Orange,  LTE  ,Dukla   
1810,Konkurent_2,GSM    ,Kamień Pomorski  
1811,Konkurent_2,GSM  LTE 5G ,Wołomin   
1812,Konkurent_3,GSM    ,Golina   
1813,Orange,GSM  LTE  ,Pajęczno   
1814,Orange,GSM    ,Świdnica   
1815,Orange,GSM  LTE  IOT,Korfantów   
1816,Konkurent_1, UMTS   ,Sędziszów   
1817,Orange,GSM UMTS   ,Lubień Kujawski  
1818,Konkurent_2,GSM  LTE  ,Nowe Miasto nad Pilicą
1819,Konkurent_2,  LTE 5G ,Brzeszcze   
1820,Orange,   5G ,Siemiatycze   
1821,Konkurent_3, UMTS LTE  ,Opole   
1822,Orange,  LTE  IOT,Warta   
1823,Orange,GSM  LTE 5G IOT,Lipno   
1824,Konkurent_1, UMTS   ,Krzyż Wielkopolski  
1825,Konkurent_2,GSM    ,Podkowa Leśna  
1826,Orange,  LTE  ,Białobrzegi   
1827,Konkurent_2, UMTS LTE  ,Górowo Iławeckie  
1828,Konkurent_1, UMTS LTE  ,Koronowo   
1829,Konkurent_3,GSM UMTS   ,Ośno Lubuskie  
1830,Konkurent_2,GSM    ,Hajnówka   
1831,Konkurent_2, UMTS LTE 5G IOT,Grybów   
1832,Orange,GSM UMTS   ,Czerwionka-Leszczyny   
1833,Orange, UMTS LTE  ,Hajnówka   
1834,Orange,GSM UMTS   ,Łobez   
1835,Konkurent_3,GSM UMTS   ,Hel   
1836,Orange,GSM  LTE  ,Łomianki   
1837,Konkurent_2,GSM UMTS   ,Kunów   
1838,Konkurent_1,GSM  LTE  ,Radzyń Chełmiński  
1839,Konkurent_2,  LTE  ,Krasnystaw   
1840,Konkurent_1,GSM  LTE 5G ,Bytom Odrzański  
1841,Konkurent_1, UMTS LTE  ,Dzierzgoń   
1842,Konkurent_3,GSM    IOT,Piekary Śląskie  
1843,Orange, UMTS  5G ,Byczyna   
1844,Orange,GSM    ,Lewin Brzeski  
1845,Konkurent_3,  LTE  IOT,Rogoźno   
1846,Konkurent_2,  LTE  ,Tarnów   
1847,Konkurent_2, UMTS  5G ,Kazimierz Dolny  
1848,Konkurent_3,  LTE  ,Sierpc   
1849,Orange,GSM    ,Kozienice   
1850,Konkurent_2,GSM  LTE  ,Gdańsk   
1851,Konkurent_2,GSM   5G ,Dobra   
1852,Konkurent_3,GSM UMTS   ,Zabłudów   
1853,Orange, UMTS LTE 5G ,Krynica Morska  
1854,Konkurent_3,GSM    ,Żelechów   
1855,Konkurent_3,  LTE  ,Górzno   
1856,Konkurent_1,  LTE  ,Mszczonów   
1857,Konkurent_3,GSM    ,Brzozów   
1858,Konkurent_2,GSM UMTS   ,Pasym   
1859,Konkurent_2,GSM    ,Wołczyn   
1860,Konkurent_2,    IOT,Kobyłka   
1861,Orange,    IOT,Jelcz-Laskowice   
1862,Konkurent_1,GSM UMTS LTE  ,Złotoryja   
1863,Orange,  LTE  ,Rudnik nad Sanem 
1864,Konkurent_2,  LTE 5G ,Zielona Góra  
1865,Konkurent_1, UMTS   ,Marki   
1866,Orange,GSM   5G ,Góra   
1867,Konkurent_1,GSM   5G ,Radymno   
1868,Konkurent_2,GSM  LTE  ,Grabów nad Prosną 
1869,Konkurent_3,GSM    ,Tykocin   
1870,Orange,   5G ,Skawina   
1871,Konkurent_1,   5G ,Bolesławiec   
1872,Konkurent_1,   5G ,Ślesin   
1873,Orange,   5G ,Pionki   
1874,Konkurent_3,GSM UMTS   ,Nowe Skalmierzyce  
1875,Konkurent_1,  LTE 5G ,Pyskowice   
1876,Konkurent_2,GSM    ,Stronie Śląskie  
1877,Konkurent_3, UMTS LTE  ,Mogilno   
1878,Orange, UMTS   ,Mława   
1879,Konkurent_1,GSM UMTS   IOT,Wyśmierzyce   
1880,Konkurent_2,GSM UMTS   ,Stary Sącz  
1881,Konkurent_2,   5G ,Oświęcim   
1882,Konkurent_2,  LTE  IOT,Korsze   
1883,Orange, UMTS   ,Gorzów Śląski  
1884,Orange,GSM    ,Głubczyce   
1885,Orange,GSM   5G ,Józefów   
1886,Konkurent_1,GSM UMTS LTE  ,Otwock   
1887,Konkurent_3,GSM    ,Sępopol   
1888,Konkurent_3, UMTS LTE  ,Białobrzegi   
1889,Konkurent_1,  LTE  IOT,Chodzież   
1890,Konkurent_2,  LTE  ,Przeworsk   
1891,Orange, UMTS LTE  ,Babimost   
1892,Konkurent_3, UMTS LTE  ,Siewierz   
1893,Konkurent_2, UMTS LTE  IOT,Nekla   
1894,Konkurent_2,GSM  LTE 5G ,Drobin   
1895,Orange,  LTE  ,Radzionków   
1896,Konkurent_3,  LTE  ,Bogatynia   
1897,Konkurent_2,  LTE 5G ,Biecz   
1898,Konkurent_1,GSM   5G ,Ustroń   
1899,Konkurent_2, UMTS   IOT,Ryglice   
1900,Orange,  LTE  ,Bieżuń   
1901,Orange,  LTE 5G ,Stawiszyn   
1902,Konkurent_2, UMTS LTE 5G ,Zabłudów   
1903,Konkurent_2,  LTE  ,Pelplin   
1904,Konkurent_3,   5G ,Węgorzewo   
1905,Konkurent_2,GSM   5G ,Gąbin   
1906,Konkurent_3,  LTE  ,Kobyłka   
1907,Konkurent_2, UMTS LTE 5G ,Trzemeszno   
1908,Konkurent_1,GSM    ,Chorzele   
1909,Orange,  LTE  ,Ruda Śląska  
1910,Konkurent_2, UMTS LTE  ,Nowy Dwór Mazowiecki 
1911,Orange,GSM UMTS   ,Krzyż Wielkopolski  
1912,Konkurent_2,  LTE  ,Wysoka   
1913,Orange, UMTS   ,Zamość   
1914,Konkurent_2,GSM UMTS LTE  ,Opalenica   
1915,Konkurent_1, UMTS  5G ,Nowe Miasto Lubawskie 
1916,Orange,GSM UMTS LTE  ,Busko-Zdrój   
1917,Konkurent_3,GSM    IOT,Nowa Sól  
1918,Konkurent_2,  LTE  ,Lesko   
1919,Konkurent_3, UMTS   IOT,Książ Wielkopolski  
1920,Konkurent_3, UMTS   ,Rakoniewice   
1921,Konkurent_3,  LTE  ,Ryki   
1922,Konkurent_1,GSM UMTS  5G ,Gorzów Śląski  
1923,Orange,GSM    ,Stawiszyn   
1924,Konkurent_2, UMTS   ,Nowe Skalmierzyce  
1925,Konkurent_2,GSM    ,Radomyśl Wielki  
1926,Orange,GSM    ,Kraśnik   
1927,Konkurent_3,GSM  LTE  ,Dębno   
1928,Konkurent_2,  LTE  ,Sulejówek   
1929,Orange,GSM  LTE  ,Strumień   
1930,Orange, UMTS LTE  IOT,Dobrzyca   
1931,Konkurent_2, UMTS   ,Brusy   
1932,Orange,  LTE  ,Aleksandrów Łódzki  
1933,Orange,GSM    ,Borne Sulinowo  
1934,Orange,   5G IOT,Wolin   
1935,Konkurent_2,   5G ,Recz   
1936,Konkurent_1,  LTE  ,Bierutów   
1937,Konkurent_1,GSM UMTS   ,Żyrardów   
1938,Konkurent_3, UMTS  5G ,Pionki   
1939,Orange, UMTS   ,Siemiatycze   
1940,Konkurent_2,GSM UMTS   ,Radzyń Chełmiński  
1941,Orange,GSM UMTS   ,Skaryszew   
1942,Konkurent_2,GSM  LTE  ,Lwówek Śląski  
1943,Konkurent_2,  LTE  ,Cieszanów   
1944,Orange, UMTS   ,Kartuzy   
1945,Orange,GSM UMTS LTE  IOT,Niemodlin   
1946,Konkurent_2,GSM UMTS   ,Twardogóra   
1947,Konkurent_2,GSM    ,Bochnia   
1948,Konkurent_3,GSM UMTS   ,Zbąszynek   
1949,Konkurent_1,GSM  LTE  ,Bolków   
1950,Orange,  LTE  ,Płock   
1951,Orange,GSM UMTS LTE 5G ,Wasilków   
1952,Konkurent_2, UMTS  5G ,Gniew   
1953,Orange, UMTS LTE  ,Jordanów   
1954,Konkurent_2,  LTE  ,Dzierżoniów   
1955,Orange, UMTS  5G ,Kleszczele   
